UID|number|genus|species|subspecies|variety|cultivar|synonym|form|affinity|ex|information|source|seeding_date|purchase_date|pot_width|pot_height|soil|description
055821||Lithops|julii|||Sakkie’s Green||||||ZW|2021-11-07|12.11.2021||||Куплен за 72 юаня
450643|VG1170|Gymnocalycium|gertii|evelyniae||||||||Sorokins||12.08.2021||||Семена куплены за 25 р.
405277|VG987|Gymnocalycium|frankianum|||||||||Sorokins||12.08.2021||||Семена куплены за 25 р.
608631|TOM375|Gymnocalycium|gaponii|||||||||Sorokins||12.08.2021||||Семена куплены за 20 р.
709680|P81|Gymnocalycium|intertextum|||||||||Sorokins||12.08.2021||||Семена куплены за 20 р.
178447|P242|Gymnocalycium|mihanovichii||stenogonum|||||||Sorokins||12.08.2021||||Семена куплены за 25 р.
045806|VG163|Gymnocalycium|saglionis|||||||||Sorokins||12.08.2021||||Семена куплены за 25 р.
734284|KK1766|Matucana|madisoniorum||asterium|||||||Sorokins||12.08.2021||||Семена куплены за 35 р.
779251|KK776|Matucana|aureiflora|||||||||Sorokins||12.08.2021||||Семена куплены за 30 р.
065900|VG271|Gymnocalycium|stellatum|||||||||Sorokins||12.08.2021||||Семена куплены за 25 р.
819842|VG865|Gymnocalycium|zegarrae|||||||||Sorokins||12.08.2021||||Семена куплены за 25 р.
636699|PV1039|Lithops|helmutii|||||||||V. Nesuta|2021-10-23||6||Lechuza Pon|
472544|C363|Lithops|fulviceps|||Aurea||||||Atomic Plant|2021-10-23||6||Lechuza Pon|
240551||Lithops|terricolor|||Green Sandpoort||||||N. Schelkunova|2021-10-23||6||Lechuza Pon|1313,81, С.Комиссарова
787873|C385|Lithops|gracilidelineata|||||||||V. Nesuta|2021-10-23||6||Lechuza Pon|
295513|PV986|Lithops|olivacea|||||||||V. Nesuta|2021-10-23||6||Lechuza Pon|
639711||Adenium|arabicum|||Desert Night Fork||||||S. Komissarova|10.03.2020|12.09.2021||||
796979|VG533|Gymnocalycium|rosae|||||||||Sorokins||2021-08-12|||Lechuza Pon|Получен в подарок при заказе
210004||Lithops||||Hotlips||||||ZW|2021-11-07|12.11.2021||||re-selected strain, large lips, 43 юаня
270435|C128A|Lithops|otzeniana|||Aquamarine||||M.G.||V. Nesuta|2021-11-07|13.09.2021||||
103059|C233|Lithops|geyeri||hillii|||||||V. Nesuta|2021-11-07|13.09.2021||||
100000|RS 618 |Ariocarpus|bravoanus||||||||Nuňez, SLP|Roman Stanik|30.01.2022|||||
100001||Aztekium|valdezii|||||||||Roman Stanik|30.01.2022|||||
100002|RS 1941 |Copiapoa|leonensis||humilis||||||Mina Leones-Caldera|Roman Stanik|30.01.2022|||||
100003|MZ 567|Coryphantha|elephantidens||||||||Xochicalco, MOR|Roman Stanik|30.01.2022|||||
100004|RS 914 |Coryphantha|bumamma||||||||Zumpango, Guerero, big plants|Roman Stanik|30.01.2022|||||
100005|RS 3050|Discocactus|horstii||||||||Grao Mogol, Min.Gerais|Roman Stanik|30.01.2022|||||
100006|RS 2787|Escobaria|abdita||||||||Laguna la Leche,COAH|Roman Stanik|30.01.2022|||||
100007|SB 423|Escobaria|minima||||||||Brewster Co.TX |Roman Stanik|30.01.2022|||||
100008|Tom 09-400-1|Gymnocalycium|nataliae||||||||Est.La Noria, Arg.|Roman Stanik|30.01.2022|||||
100009|RS 1795|Gymnocalycium|bruchii||suzanae||||||Parador El Condor, Cor.|Roman Stanik|30.01.2022|||||
100010|VM 758|Lophophora|alberto-vojtechii||||||||Vanegas SLP|Roman Stanik|30.01.2022|||||
100011|RS 1193 |Lophophora|diffusa||||||||(robust), Peňa Miler, QRO.|Roman Stanik|30.01.2022|||||
100012|RS 404|Lophophora|fricii|||||albiflora|||(white fl.), Viesca, COAH.|Roman Stanik|30.01.2022|||||
100013|RS 1184A|Lophophora|koehresii||||||||San Francisco, SLP|Roman Stanik|30.01.2022|||||
100014|MZ 376|Mammillaria|coahuilensis||||||||(Porfiria), Parras, COAH.|Roman Stanik|30.01.2022|||||
100015|RS 519|Mammillaria|lasiacantha||||||||(dense),Hipolito, COAH.,|Roman Stanik|30.01.2022|||||
100016|RS 082|Mammillaria|plumosa||||||||La Rinconada, N.L.|Roman Stanik|30.01.2022|||||
100017||Mammillaria|sanchez-mejoradae||||||||Municipio Galeana, NL|Roman Stanik|30.01.2022|||||
100018||Mammillaria|bertholdii||||||||S.J.Lachiguiri, OAX, ( white, new species)|Roman Stanik|30.01.2022|||||
